date,sales
2018-01-01,154.12
2018-02-01,148.33
2018-03-01,136.45
2018-04-01,125.67
2018-05-01,118.91
2018-06-01,112.44
2018-07-01,108.77
2018-08-01,110.23
2018-09-01,115.88
2018-10-01,124.56
2018-11-01,138.90
2018-12-01,165.34
2019-01-01,169.45
2019-02-01,162.78
2019-03-01,149.33
2019-04-01,138.12
2019-05-01,130.45
2019-06-01,124.67
2019-07-01,119.89
2019-08-01,121.34
2019-09-01,127.56
2019-10-01,136.78
2019-11-01,151.23
2019-12-01,178.90
2020-01-01,183.67
2020-02-01,176.89
2020-03-01,162.45
2020-04-01,150.12
2020-05-01,142.33
2020-06-01,136.78
2020-07-01,131.45
2020-08-01,133.12
2020-09-01,139.67
2020-10-01,149.89
2020-11-01,164.56
2020-12-01,192.34
2021-01-01,197.89
2021-02-01,190.12
2021-03-01,175.67
2021-04-01,162.34
2021-05-01,154.56
2021-06-01,148.90
2021-07-01,143.23
2021-08-01,145.67
2021-09-01,152.34
2021-10-01,162.89
2021-11-01,177.45
2021-12-01,205.78
2022-01-01,212.34
2022-02-01,203.67
2022-03-01,188.90
2022-04-01,174.56
2022-05-01,166.78
2022-06-01,160.12
2022-07-01,154.45
2022-08-01,157.89
2022-09-01,165.34
2022-10-01,176.12
2022-11-01,191.67
2022-12-01,220.45
2023-01-01,227.89
2023-02-01,217.34
2023-03-01,202.12
2023-04-01,187.67
2023-05-01,179.89
2023-06-01,172.34
2023-07-01,166.78
2023-08-01,170.12
2023-09-01,178.45
2023-10-01,189.67
2023-11-01,205.89
2023-12-01,235.67
